segment_id,is_anchor,instance_name,video_id,channel_id,start_time,end_time,query
06a9303e-3d57-40bc-bb47-9356fa832782,True,Casey's wife,QxsFiJWjbeA,UCtinbF-Q-fVthA0qrFQTgXQ,276.5,277.5,woman
ead408e4-e1b6-4256-9adf-043906a41170,True,Casey's friend marlan,Ipv_LWcdfC0,UCtinbF-Q-fVthA0qrFQTgXQ,234.5,235.5,man
72d3373b-8d35-4e24-a84f-ffdc76632e87,True,Casey's jeep,4juSAp9jQjA,UCtinbF-Q-fVthA0qrFQTgXQ,188.5,189.5,car
4816213c-1ee4-429d-91c2-9472bb497d8b,False,,QxsFiJWjbeA,UCtinbF-Q-fVthA0qrFQTgXQ,18.0,21.0,
96ba0f39-b522-4026-92fc-780809f92948,False,,QxsFiJWjbeA,UCtinbF-Q-fVthA0qrFQTgXQ,21.0,24.0,
c354ae24-6c9f-44a9-9160-7a792d73cff4,False,,QxsFiJWjbeA,UCtinbF-Q-fVthA0qrFQTgXQ,27.0,30.0,
7ada68e8-24e4-4180-a46d-9aa432afeb99,False,,QxsFiJWjbeA,UCtinbF-Q-fVthA0qrFQTgXQ,54.0,57.0,
a36c44e1-8e02-4e04-80cd-1999075c721e,False,,QxsFiJWjbeA,UCtinbF-Q-fVthA0qrFQTgXQ,60.0,63.0,
5f15c097-f066-47d9-ac5d-8bc7fb9aef4d,False,,QxsFiJWjbeA,UCtinbF-Q-fVthA0qrFQTgXQ,69.0,72.0,
75193e92-58f3-4b2b-a5bf-a6074abeec60,False,,QxsFiJWjbeA,UCtinbF-Q-fVthA0qrFQTgXQ,81.0,84.0,
494051a5-36c3-4c2e-895e-10a6bf4af0b3,False,,QxsFiJWjbeA,UCtinbF-Q-fVthA0qrFQTgXQ,96.0,99.0,
59d2fe67-5548-420d-b23e-ef2622ac70af,False,,QxsFiJWjbeA,UCtinbF-Q-fVthA0qrFQTgXQ,99.0,102.0,
4ba6413d-490a-413f-b8c6-58bac3d4207b,False,,QxsFiJWjbeA,UCtinbF-Q-fVthA0qrFQTgXQ,102.0,105.0,
6967dd8b-d4bb-4f80-bb50-4df2096c5f73,False,,QxsFiJWjbeA,UCtinbF-Q-fVthA0qrFQTgXQ,105.0,108.0,
e92a57d9-da01-448e-8472-a62b2e134ad0,False,,QxsFiJWjbeA,UCtinbF-Q-fVthA0qrFQTgXQ,120.0,123.0,
ad7dddd7-e05b-4f35-8b50-15fb93565a7a,False,,QxsFiJWjbeA,UCtinbF-Q-fVthA0qrFQTgXQ,126.0,129.0,
a5b0ebd8-8e82-4dce-bdae-dc7908c8cd47,False,,QxsFiJWjbeA,UCtinbF-Q-fVthA0qrFQTgXQ,129.0,132.0,
c2e47eb7-726b-4f8b-b392-be800cdf7dbf,False,,QxsFiJWjbeA,UCtinbF-Q-fVthA0qrFQTgXQ,141.0,144.0,
9e7e02a5-82d1-42a1-94fd-6d2b2eb4d7a1,False,,QxsFiJWjbeA,UCtinbF-Q-fVthA0qrFQTgXQ,153.0,156.0,
